"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
21,1,1,2,1,6,1,1,1,1,5,4,3,2,6,5,4,4,5,5,5,4,6,"m.supp",4,7.5,3,"control",1,7.6,3,4,3,"5fd93095-0ebe-52cb-fd89-4d7c1b467ecb","i make some extra bucks","no comment"
56,1,2,2,4,2,1,1,3,2,1,5,5,5,6,6,6,3,2,3,5,4,5,"control",5,7,3,"si.supp",5,9.8,5,5,2,"5fd92cfa-4666-996a-1d80-368d2c2be7f0","to earn points","All okay"
43,1,2,2,5,3,1,2,1,2,2,4,5,5,6,6,6,1,3,3,4,3,2,"m.supp",5,9.4,3,"m.supp",5,10,5,5,5,"5fd92d9e-ae63-cb90-4190-bc9f22851d80","to influence decision making, new and old products, and to earn a little extra money",NA
20,1,1,2,2,5,2,1,2,2,3,4,4,4,5,5,5,4,4,5,4,4,5,"si.opp",4,5.8,3,"si.supp",4,6.5,1,2,2,"5fd9846e-ea53-8069-5d13-4a3ce9c5a96b","Cuz","Unsure "
18,1,2,2,2,6,1,1,1,1,5,5,4,5,5,5,5,3,4,2,6,3,3,"control",4,7.3,3,"m.opp",5,7.3,5,5,1,"5fd98506-634b-bc6a-7eaf-a66d63dac814","interesting to see what sort of topics are covered",NA
1,1,2,2,2,2,3,3,3,3,1,4,6,2,4,5,4,5,4,3,1,1,6,"si.opp",3,3.2,3,"m.supp",3,4.2,3,1,1,"5fd984dd-d580-1856-9dc3-ad520afa2408","My game rewards",NA
40,1,2,2,6,6,4,3,3,2,5,3,3,3,4,6,5,2,4,4,4,3,2,"si.supp",4,5.6,3,"m.opp",5,10,5,3,3,"5fd98585-2fae-f44f-3020-4ffba2daa3b5","I am earning some extra income","You need to have the choice of freelance or self employed "
35,1,2,2,2,3,1,1,1,1,2,2,4,3,5,5,5,2,3,3,5,3,3,"si.supp",4,9.4,3,"si.opp",3,5.1,5,4,5,"5fd98560-71c0-96cf-67e9-e15f26227225","Game iffers",NA
1,3,2,2,2,2,2,1,2,1,2,4,4,4,5,5,5,5,5,5,5,5,5,"control",2,4.3,4,"si.opp",4,4.3,3,1,6,"5fd9871e-4c7f-1a28-5451-c49e2e941a57","I don’t know ","I don’t know "
1,3,2,2,2,2,2,1,2,1,2,4,4,4,5,5,5,5,5,5,5,5,5,"control",2,4.3,4,"si.opp",4,4.3,3,1,6,"5fd9871e-4c7f-1a28-5451-c49e2e941a57","I don’t know ","I don’t know "
10,1,1,2,2,5,3,1,3,2,4,2,2,3,2,2,3,2,4,3,3,2,4,"m.opp",3,4.5,3,"m.opp",4,7.6,5,1,1,"5fd986ea-7d41-6b04-16c6-117067b779c7","On a website",NA
20,1,2,2,5,3,1,2,1,2,2,5,4,4,4,4,4,3,4,4,4,4,4,"control",3,6.1,3,"m.supp",3,6.2,5,5,6,"5fd9869c-43d5-7a4f-497c-2ba7f28295dd","10 years ago",NA
33,2,2,2,6,2,1,1,3,3,1,1,1,1,1,6,4,1,6,1,6,1,1,"m.opp",3,5.7,3,"control",3,5.5,5,4,1,"5fd9866a-064d-96a5-d037-2d4d654a4896","To earn extra money ",NA
4,8,2,2,3,1,1,2,3,1,2,5,6,5,6,6,5,3,3,1,5,4,1,"m.supp",2,4.2,3,"si.supp",4,4.5,5,1,6,"5fd987ba-829d-67ff-bd22-f8616679f31e","To get diamonds on home design",NA
7,1,2,2,6,1,1,2,3,3,2,5,5,6,6,6,6,1,3,2,4,1,4,"m.supp",3,5.6,3,"si.supp",3,5.4,5,5,3,"5fd98795-2fe4-06b9-c37d-eca471e507fd","2018",NA
1,4,2,2,2,6,1,2,1,2,4,6,6,4,6,6,6,4,3,4,1,4,2,"control",4,7,3,"m.opp",4,7.3,5,1,1,"5fd986eb-57cc-554f-8246-17c75b39cf24","Games",NA
7,4,1,2,3,1,1,2,1,2,2,5,4,5,5,6,4,4,4,4,5,4,4,"m.opp",4,7.4,3,"si.opp",4,7.3,5,1,1,"5fd98859-0926-9a87-8a27-2936ac45a008","Rewards in an app","N/A"
33,1,2,2,6,4,3,3,3,3,4,4,4,3,4,5,3,2,5,3,3,2,5,"si.supp",3,7.9,3,"si.supp",3,7.1,5,5,1,"5fd98867-fcb6-f739-14ed-0a0c1bbe3cd9","I like learning new things and earning prizes ","None "
3,1,2,2,1,7,3,2,3,3,2,3,3,3,6,6,6,4,5,4,6,6,5,"m.supp",3,4.3,3,"m.opp",3,4.7,5,1,1,"5fd98829-f541-8bb3-73ba-88e7a28786bc","Game",NA
21,1,2,2,2,4,2,1,1,1,4,6,5,4,6,5,4,1,6,1,6,1,3,"si.opp",5,6.6,7,"si.supp",4,7.2,2,5,1,"5fd989a4-8475-81ca-1e51-eee65d12477a","To make extra cash",NA
36,1,2,2,2,2,1,1,1,2,5,4,5,4,6,6,2,2,1,1,2,1,1,"m.supp",5,9.4,3,"control",4,8.7,5,5,2,"5fd9893a-1a92-67f9-c8ab-d1ffc22d4dae","hobby","somequestions were ambiguous - depends on what way you interpreted them"
43,1,2,2,4,1,2,2,1,2,1,6,5,4,6,6,6,3,2,1,2,3,5,"si.supp",4,9.1,3,"m.opp",5,9.4,5,5,6,"5fd988b6-cb8e-b27f-dec1-a562b5e2b080","Enjoy doing  them","Interesting "
10,3,2,2,5,1,1,2,2,2,3,1,1,1,2,3,3,3,3,2,4,4,3,"si.opp",2,5.5,3,"m.supp",2,6.4,2,3,1,"5fd98a4a-776c-bfb7-e50e-7be78cfb1374","Extra income ","None "
23,2,2,2,6,2,1,1,1,2,1,1,5,3,4,5,6,3,5,2,2,3,6,"si.supp",5,10,3,"control",4,8.9,5,1,3,"5fd988b7-695d-e694-aadc-86fb7667d859","I wanted get involve in giving feedback. ",NA
20,1,1,2,1,3,1,1,2,2,5,4,4,3,6,5,6,3,6,4,1,2,5,"control",4,5.7,3,"control",4,5.4,3,2,1,"5fd9893d-f677-8130-36d4-ef806d1e8795","because it is a good",NA
43,1,2,2,1,2,1,1,3,3,1,6,6,6,NA,NA,NA,2,3,3,5,2,5,"si.opp",3,6.9,3,"control",5,10,5,5,3,"5fd9892c-989b-6d04-6567-ddda89d7aee4","For money and it’s fun and I’ve learned a lot ",NA
13,1,2,2,6,4,2,2,3,3,2,3,3,3,1,1,1,4,4,4,1,4,4,"control",3,5.4,4,"control",3,4.4,5,4,5,"5fd98a76-704e-1c71-bee6-d214c8fa0ea6","points ","thanks."
23,3,1,2,2,7,2,2,2,2,5,3,5,6,6,6,2,1,6,2,6,4,6,"m.opp",4,5.4,3,"m.opp",5,9.1,5,2,2,"5fd9896e-dede-7d38-136d-33dfae596a0c","i like it","no"
15,2,2,2,2,2,3,3,3,3,1,6,4,4,6,6,6,6,5,6,6,6,6,"m.supp",3,3.4,6,"m.opp",3,2.7,3,4,6,"5fd98a45-c614-d1a0-4379-3320cfd8a83e","Get paid",NA
