id,text,page,type,choices,choiceNames,reverse,placeholder,min,max,disabled,checkType,width,height,inline,randomize
NA,"When you decide whether something is right or wrong, to what extent are the following considerations relevant to your thinking?",1,p,NA,NA,NA,NA,NA,NA,0,NA,500px,NA,NA,0
mor_suffer,Whether or not someone suffered emotionally.,1,radioButtons,"1,2,3,4,5,6","Not at all relevant (This consideration has nothing to do with my judgments of right and wrong),Not very relevant,Slightly relevant,Somewhat relevant,Very relevant,Extremely relevant (This is one of the most important factors when I judge right and wrong)",NA,NA,NA,NA,1,is.null,500px,NA,0,0
mor_care,Whether or not someone cared for someone weak or vulnerable.,1,radioButtons,"1,2,3,4,5,6","Not at all relevant,Not very relevant,Slightly relevant,Somewhat relevant,Very relevant,Extremely relevant",NA,NA,NA,NA,1,is.null,500px,NA,0,0
mor_cruel,Whether or not someone was cruel.,1,radioButtons,"1,2,3,4,5,6","Not at all relevant,Not very relevant,Slightly relevant,Somewhat relevant,Very relevant,Extremely relevant",NA,NA,NA,NA,1,is.null,500px,NA,0,0
NA,Please read the following sentences and indicate your agreement or disagreement.,2,p,NA,NA,NA,NA,NA,NA,0,NA,500px,NA,NA,0
mor_comp,Compassion for those who are suffering is the most crucial virtue.,2,radioButtons,"1,2,3,4,5,6","Strongly disagree,Moderately disagree,Slightly disagree,Slightly agree,Moderately agree,Strongly agree",NA,NA,NA,NA,1,is.null,500px,NA,0,0
mor_anim,One of the worst things a person could do is hurt a defenseless animal.,2,radioButtons,"1,2,3,4,5,6","Strongly disagree,Moderately disagree,Slightly disagree,Slightly agree,Moderately agree,Strongly agree",NA,NA,NA,NA,1,is.null,500px,NA,0,0
mor_kill,It can never be right to kill a human being.,2,radioButtons,"1,2,3,4,5,6","Strongly disagree,Moderately disagree,Slightly disagree,Slightly agree,Moderately agree,Strongly agree",NA,NA,NA,NA,1,is.null,500px,NA,0,0
