id,text,page,type,choices,choiceNames,reverse,placeholder,min,max,disabled,checkType,width,height,inline,randomize
NA,"In recent weeks, the U.S. government has increasingly threatened North Korea. International laws do not allow the development and testing of long-range inter-continental missiles, yet its government has done so anyway. To get them to change course, the U.S. government has threatened to conduct air strikes against North Korea’s military facilities.",1,p,NA,NA,NA,NA,NA,NA,0,NA,500px,NA,NA,0
NA,"Some people think it is a bad policy that the U.S. government has threatened North Korea with military action. They argue that North Korea has not attacked the U.S., and that the U.S. government should never use military force against a country unless it has been attacked first.",1,p,NA,NA,NA,NA,NA,NA,0,NA,500px,NA,NA,0
treat,How do you feel?,1,radioButtons,"1,2,3,4,5","Strongly oppose,Somewhat oppose,Neither favor nor oppose,Somewhat favor,Strongly favor",NA,NA,NA,NA,1,is.null,500px,NA,0,0
